Overall_group,Family,Genus,Species,Size_NOW,Size_Smith,Size_Phylacine,P4,M1,M2,m1,m2,m3,m1-m3,Source_P4,Note_P4,Source_M1,Note_M1,Source_M2,Note_M2,Source_m1,Note_m1,Source_m2,Note_m2,Source_m3,Note_m3,Source_m1-m3,Note_m1-m3,Status
Carnivoramorpha,Mustelidae,Arctomeles,gennevauxi,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,Viret (1939) Travaux du Laboratoire de Geologie de la Faculte de Sciences de Lyon 37 7-26,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Lutra,aonychoides,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raghavan et al (2007) Estudios Geológicos 63 135-146,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Plesiogulo,brachygnathus,20,20,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Ursidae,Cephalogale,geoffroyi,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,Filhol (1879) Annales des Sciences Géologiques 10 1-252,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Ursidae,Tremarctos,ornatus,NA,NA,140,NA,NA,NA,18.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Janis et al (1998) Evolution of Tertiary Mammals of North America. Volume 1. Terrestrial Carnivores, Ungulates, and Ungulate like Mammals ",Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Hyaenodonta_and_Oxyaenida,Oxyaenidae,Ambloctonus,major,NA,28.62,NA,NA,NA,NA,18.8,13.35,Not Present,NA,NA,NA,NA,NA,NA,NA,Michael Morlo pers obs,Reported value,Michael Morlo pers obs,Reported value,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Sthenictis,lacota,NA,NA,NA,NA,NA,NA,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tseng et al (2011) Geodiversitas 31 743-751,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Amphicyonidae,Cynelos,rugosidens,28.6,NA,NA,NA,NA,NA,18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hunt (1972) American Museum Novitates 2506 1-41,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Eucyon,zhoui,NA,NA,NA,NA,NA,NA,18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spassov & Rook (2006) Rivista Italiana di Paleontologia e Stratigrafia 112 123-133,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Barbourofelidae,Sansanosmilus,palmidens,40,NA,NA,NA,NA,NA,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Eucyon,monticinensis,NA,NA,NA,NA,NA,NA,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Montoya et al (2011) Geodiversitas 31 709-722,Inferred based on figure,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Nyctereutes,tingi,NA,NA,NA,NA,NA,NA,18.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lucenti (2019) Acta Zoologica 100 211-215,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Hyanidae,Metahyaena,confector,NA,NA,NA,NA,NA,NA,17.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,Coca-Ortega & Pérez-Claros (2019) PeerJ 6 e6238,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Hyanidae,Thalassictis,certa,20,17.7,NA,NA,NA,NA,17.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,Peigne (2016) Geodiversitas 38 197-224,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Hyaenodonta_and_Oxyaenida,Oxyaenidae,Oxyaena,forcipata,NA,63.39,NA,NA,20.4,NA,17.7,19.95,Not Present,NA,NA,NA,"Gunnell & Gingerich (1991) Contributions from the Museum of Paleontology, The University of Michigan 28 141- 180",Midpoint of range,NA,NA,"Gunnell & Gingerich (1991) Contributions from the Museum of Paleontology, The University of Michigan 28 141- 180",Reported mean,"Gunnell & Gingerich (1991) Contributions from the Museum of Paleontology, The University of Michigan 28 141- 180",Reported mean,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Eucyon,odessanus,NA,NA,NA,NA,NA,NA,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kostopoulos & Sen (1999) Mitteilungen der Bayerischen Staatssammlung für Paläontologie und Historie. Geologie 39 165-202,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Hyanidae,Thalassictis,robusta,20,16.9,NA,NA,NA,NA,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Sivaonyx,soriae,NA,NA,NA,NA,NA,NA,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morales & Pickford (2005) Estudios Geológicos 61 233-246,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Nimravidae,Hoplophoneus,mentalis,NA,NA,NA,NA,NA,NA,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sinclair (1921) Proceedings of the American Philosophical Society 60 96-98,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Viverravidae,Didymictis,vancleavae,NA,NA,NA,NA,NA,NA,17.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Robinson (1966) Bulletin of the Peabody Museum of Natural History, Yale University 21 1-95",Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Canis,aureus,10,NA,10.35,NA,NA,NA,17.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lucenti & Rook (2016) Quaternary Science Reviews 151 58-71,Inferred based on figure,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Satherium,piscinarium,NA,5.42,NA,NA,NA,NA,17.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Janis et al (1998) Evolution of Tertiary Mammals of North America. Volume 1. Terrestrial Carnivores, Ungulates, and Ungulate like Mammals ",Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Felidae,Metailurus,mongoliensis,NA,NA,NA,NA,NA,NA,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yu (2014) Vertebrata PalAsiatica 52 467-485,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Aonyx,indicus,NA,NA,NA,NA,NA,NA,17.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raghavan et al (2007) Estudios Geológicos 63 135-146,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Ursidae,Adelpharctos,ginsburgi,NA,NA,NA,NA,NA,NA,17.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bonis (2012) Estudios Geológicos 67 179-186,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Nyctereutes,terblanchei,NA,NA,NA,NA,NA,NA,17.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lucenti (2019) Acta Zoologica 100 211-215,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Amphicyonidae,Daphoenus,socialis,NA,22.63,NA,NA,NA,NA,17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Felidae,Hyperailurictis,intrepidus,NA,29.22,NA,NA,NA,NA,17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Ischyrictis,zibethoides,15,15,NA,NA,NA,NA,17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Amphicyonidae,Cynelos,schlosseri,22,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Barbourofelidae,Prosansanosmilus,peregrinus,40,39.99,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morales et al (2001) Transactions of the Royal Society of Edinhurgh Earth Sciences 92 97-102,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Eucyon,kuta,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,Werdelin et al (2015) Papers in Palaeontology 1 33-40,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Mececyon,trinilensis,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lyras et al (2010) Journal of Biogeography 37 1007-1021,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Mionictis,pristinus,NA,20.38,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,Matthew & Gidley (1904) Bullelin of the American Museum of Natural History 20 241-268,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Oligobunis,floridanus,15,24.23,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Nimravidae,Eofelis,giganteus,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,Peigne (2000) Comptes Rendus de l'Academie des Sciences Series IIA Earth and Planetary Science 330 653-658,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Ursidae,Cephalogale,gergoviensis,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,Viret (1929) Mémoires de l’Université de Lyon 47 1-305,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Amphicyonidae,Cynelos,crassidens,NA,NA,NA,NA,NA,NA,16.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hunt (1972) American Museum Novitates 2506 1-41,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Hyaenodonta_and_Oxyaenida,Oxyaenidae,Palaeonictis,peloria,NA,39.85,NA,NA,NA,NA,16.8,13.9,Not Present,NA,NA,NA,NA,NA,NA,NA,"Gunnell & Gingerich (1991) Contributions from the Museum of Paleontology, The University of Michigan 28 141- 180",Midpoint of range,"Gunnell & Gingerich (1991) Contributions from the Museum of Paleontology, The University of Michigan 28 141- 180",Reported value,NA,NA,NA,NA,Accepted
Carnivoramorpha,Amphicyonidae,Ictiocyon,socialis,NA,20,NA,NA,NA,NA,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wang et al (2005) Palaeontologia Electronica 8 6A,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Nimravidae,Dinictis,felina,NA,22.91,NA,NA,NA,NA,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Janis et al (1998) Evolution of Tertiary Mammals of North America. Volume 1. Terrestrial Carnivores, Ungulates, and Ungulate like Mammals ",Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Ailuridae,Parailurus,baikalicus,NA,NA,NA,NA,NA,NA,16.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ogino et al (2009) Paleontological Research 13 259-264,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Canis,mesomelas,NA,NA,8.5,NA,NA,NA,16.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lucenti & Rook (2016) Quaternary Science Reviews 151 58-71,Inferred based on figure,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Mionictis,dubia,NA,10.99,NA,NA,NA,NA,16.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Felidae,Hyperailurictis,validus,NA,NA,NA,NA,NA,NA,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rothwell 2003 American Museum Novitates 3403 1-64,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Enhydritherium,terraenovae,NA,16.94,NA,NA,NA,NA,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Viverridae,Pseudocivetta,ingens,NA,NA,NA,NA,NA,NA,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Grohe et al (2020) American Museum Novitates 3952 1-57,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Eucyon,minor,NA,NA,NA,NA,NA,NA,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spassov & Rook (2006) Rivista Italiana di Paleontologia e Stratigrafia 112 123-133,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Megalictis,simplicidens,NA,NA,NA,NA,NA,NA,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Valenciano et al (2016) PLoS One 11 e0152430,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Sivaonyx,bathygnathus,NA,NA,NA,NA,NA,NA,16.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,Peigne (2016) Geodiversitas 38 197-224,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Viverridae,Viverra,apennina,NA,NA,NA,NA,NA,NA,16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rook &Martínez-Navarro (2004) Rivista Italiana di Paleontologia e Stratigrafia 110 719-723,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Canis,adustus,NA,10.23,10.25,NA,NA,NA,16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lucenti & Rook (2016) Quaternary Science Reviews 151 58-71,Inferred based on figure,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Phlaocyon,yatkolai,NA,13.81,NA,NA,NA,NA,16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Pannonictis,pachygnatha,NA,NA,NA,NA,NA,NA,16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Qiu et al (2004) Palaeontologia Sinica, New Series C 191 1-198",Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Hoplictis,anatolicus,12,12,NA,NA,NA,NA,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tseng et al (2011) Geodiversitas 31 743-751,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Hyanidae,Thalassictis,proava,NA,NA,NA,NA,NA,NA,16.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,Peigne (2016) Geodiversitas 38 197-224,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Hyaenodonta_and_Oxyaenida,Oxyaenidae,Ambloctonus,hyaenoides,NA,NA,NA,NA,NA,NA,16,12.5,Not Present,NA,NA,NA,NA,NA,NA,NA,Denison (1938) Annals of the New York Academy of Sciences 37 163-257,Reported value,Denison (1938) Annals of the New York Academy of Sciences 37 163-257,Reported value,NA,NA,NA,NA,Accepted
Carnivoramorpha,Felidae,Hyperailurictis,marshi,NA,24.6,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Sivaonyx,hessicus,NA,14,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Viverridae,Mioparadoxurus,meini,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morales & Pickford (2011) Geobios 44 271-277,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Nyctereutes,sinensis,8,NA,NA,NA,NA,NA,15.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lucenti (2019) Acta Zoologica 100 211-215,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Amphicyonidae,Daphoenus,vetus,40,28.75,NA,NA,NA,NA,15.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Enhydra,lutris,NA,NA,23.5,NA,NA,NA,15.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,Willemsen (1992) Scripta Geologica 101 1-115,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Felidae,Hyperailurictis,aeluroides,NA,21.78,NA,NA,NA,NA,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Megalictis,frazieri,NA,16.14,NA,NA,NA,NA,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,Valenciano et al (2016) PLoS One 11 e0152430,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Sthenictis,neimengguensis,NA,NA,NA,NA,NA,NA,15.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tseng et al (2011) Geodiversitas 31 743-751,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Ursidae,Phoberogale,gracile,NA,NA,NA,NA,NA,NA,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Viret (1929) Mémoires de l’Université de Lyon 47 1-305,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Hyaenodonta_and_Oxyaenida,Oxyaenidae,Ambloctonus,sinosus,NA,87.35,NA,NA,NA,NA,15.5,12.3,Not Present,NA,NA,NA,NA,NA,NA,NA,Denison (1938) Annals of the New York Academy of Sciences 37 163-257,Reported value,Denison (1938) Annals of the New York Academy of Sciences 37 163-257,Reported value,NA,NA,NA,NA,Accepted
Carnivoramorpha,Ailuridae,Amphictis,aginensis,NA,NA,NA,NA,NA,NA,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bonis (1973) Mémoires du Museum national d'histoire naturelle Série C Géologie 28 1-192,Inferred based on figure,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Hoplictis,florancei,10,10,NA,NA,NA,NA,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Ursidae,Filholictis,filholi,NA,NA,NA,NA,NA,NA,15.5,NA,NA,NA,Schlosser (1888) Beiträge zur Paläontologie und Geologie Österreich-Ungarns und des Orients 7 225-386,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Amphicyonidae,Daphoenictis,tedfordi,20,NA,NA,NA,NA,NA,15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Janis et al (1998) Evolution of Tertiary Mammals of North America. Volume 1. Terrestrial Carnivores, Ungulates, and Ungulate like Mammals ",Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Amphicyonidae,Pseudarctos,bavaricus,9,NA,NA,NA,NA,NA,15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Nyctereutes,donnezani,8,8,NA,NA,NA,NA,15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Felidae,Puma,lacustris,NA,19.08,NA,NA,NA,NA,15.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Felidae,Diamantofelis,ferox,NA,NA,NA,NA,NA,NA,15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Werdelin (2012) Estudios Geológicos 67 217-222,Inferred based on figure,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Hyanidae,Ictitherium,tauricum,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Sthenictis,dolichops,NA,2.78,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Trochotherium,cyamoides,7.5,7.5,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Ursidae,Phoberogale,minor,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,Wang et al (2011) Geodiversitas 31 753-773,Midpoint of range,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Viverridae,Viverra,karnuliensis,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lydekker (1886) Palaeontologica Indica, Series X 4 23-58",Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Ectopocynus,antiquus,NA,9.56,NA,NA,NA,NA,14.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Procyonidae,Arctonasua,eurybates,NA,15.92,NA,NA,NA,NA,14.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Eucyon,skinneri,NA,NA,NA,NA,NA,NA,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tedford et al (2009) Bulletin of the American Museum of Natural History 325:1-218,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Proputorius,sansaniensis,6,NA,NA,NA,NA,NA,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Sivaonyx,gandakasensis,NA,NA,NA,NA,NA,NA,14.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,Peigne (2016) Geodiversitas 38 197-224,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Lontra,longicaudis,NA,NA,6.56,NA,NA,NA,14.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prassack (2016) Journal of Vertebrate Paleontology 36 e1149075,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Felidae,Proailurus,major,NA,NA,NA,NA,NA,NA,14.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Peigne (1999) Bulletin de la Société d’Histoire Naturelle de Toulouse 135 125-134,Inferred based on figure,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Enhydra,reevei,NA,NA,NA,NA,NA,NA,14.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Willemsen (1992) Scripta Geologica 101 1-115,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Namibictis,senuti,NA,10.23,NA,NA,NA,NA,14.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bonis et al (2009) Neues Jahrbuch für Geologie und Paläontologie 252 33-54,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Amphicynodontidae,Allocyon,loganensis,NA,NA,NA,NA,NA,NA,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Janis et al (1998) Evolution of Tertiary Mammals of North America. Volume 1. Terrestrial Carnivores, Ungulates, and Ungulate like Mammals ",Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Amphicyonidae,Daphoenus,transversus,NA,NA,NA,NA,NA,NA,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Hyanidae,Protictitherium,aegaeum,NA,NA,NA,NA,NA,NA,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Coca-Ortega & Pérez-Claros (2019) PeerJ 6 e6238,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Brachypsalis,modicus,NA,3.91,NA,NA,NA,NA,14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Vulpes,vulpes,8,10.01,5.32,NA,NA,NA,14.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hartstone-Rose et al (2013) Transactions of the Royal Society of South Africa 68 1-9,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Felidae,Felis,christoli,NA,NA,NA,NA,NA,NA,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ficcarelli & Torre (1976) Bollettino della Societa Paleontologica Italiana 14 217-220,Inferred based on figure,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Lutra,fatimazohrae,NA,NA,NA,NA,NA,NA,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Geraads (1997) Geobios 30 127-164,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Viverravidae,Didymictis,altidens,NA,5.01,NA,NA,NA,NA,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Robinson (1966) Bulletin of the Peabody Museum of Natural History, Yale University 21 1-95",Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Hyaenodonta_and_Oxyaenida,Oxyaenidae,Oxyaena,intermedia,NA,39.42,NA,NA,NA,NA,14.25,18,Not Present,NA,NA,NA,NA,NA,NA,NA,"Gunnell & Gingerich (1991) Contributions from the Museum of Paleontology, The University of Michigan 28 141- 180",Reported mean,"Gunnell & Gingerich (1991) Contributions from the Museum of Paleontology, The University of Michigan 28 141- 180",Reported value,NA,NA,NA,NA,Accepted
